"horseId","riderId","date","durationMinutes","workType","notes"
"cmitaxi5o0000cntjm4i6ku3t","cmitf6njs00006qtjqh6se2t2","2025-12-10T15:00:00.000Z","45","FLATWORK","Focused on transition smoothness and suppleness throughout the session.

Warmup:
- Long rein walk for 10 minutes to loosen up the back.
- Rising trot on large circles, encouraging the horse to stretch down.

Main Work:
- Worked on canter transitions at specific markers in the arena.
- 20-meter circles maintaining consistent rhythm.
- Leg yielding from the quarter line to the track to improve lateral responsiveness.

Cool Down:
- 10 minutes of walk on a loose rein.
- Checked legs after untacking, everything looks good."
"cmiz1uqmg00004qtj776fjmaw","cmiz1z9ye0000z1tj6nxwmf16","2025-12-09T16:30:00.000Z","60","JUMPING","Gymnastics and grid work day.

Setup:
- Placed a bounce to a one-stride vertical-oxer line.
- Added placing poles to help regulate the approach.

Session:
- Started with trotting poles to establish rhythm.
- Cantered the grid multiple times, raising the height incrementally to 1.10m.
- Horse was feeling fresh but listened well to half-halts.
- Landed on correct leads 90% of the time.

Notes:
- Need to watch the drift to the left on the approach."
"cmiz1uvrd00014qtjolapk1bi","cmiz1znb90001z1tjxaptn1jt","2025-12-09T14:00:00.000Z","30","GROUNDWORK","Focused on respect and responsiveness on the ground.

Exercises:
- Leading from the shoulder, ensuring no crowding.
- Backing up through an L-shape of poles.
- Yielding the hindquarters and forehand in response to light pressure.

Observations:
- Horse was a bit distracted by activity in the neighboring paddock initially but settled after 5 minutes.
- Response to the backup cue is much improved compared to last week."
"cmitaxi5o0000cntjm4i6ku3t","cmiz1zutc0002z1tj6ty2vuo4","2025-12-08T10:30:00.000Z","20","IN_HAND","Short session focusing on confidence building.

Activities:
- Walked over tarps and near the scary corner with the banners.
- Practiced standing still while being brushed and having feet handled.
- Worked on keeping focus on the handler despite distractions.

Outcome:
- Successfully walked over the tarp without hesitation by the end of the session.
- Good progress on patience."
"cmiz1uvrd00014qtjolapk1bi","cmitf6njs00006qtjqh6se2t2","2025-12-07T17:00:00.000Z","50","TRAIL","Relaxing hack to clear the mind.

Route:
- Took the forest loop with the hill climbs.
- Mostly walk with some trot stretches on the flat sandy paths.

Highlights:
- Horse was very relaxed, ears forward the whole time.
- Encountered a dog walker; horse remained calm and sensible.
- Good hill work for building hindquarter strength without high impact.
- Stretched out well afterwards."
"cmitaxi5o0000cntjm4i6ku3t","cmitf6njs00006qtjqh6se2t2","2025-12-06T09:00:00.000Z","45","FLATWORK","Intensive flatwork session focusing on collection.

Plan:
- Warm up with lots of transitions within the gait.
- Work on counter-canter loops.
- Practice simple changes through the walk.

Execution:
- The counter-canter to the left is getting stronger.
- Right rein contact felt a bit heavy today; spent extra time suppling the right side.
- Simple changes were clean and direct.

Plan for next time:
- More serpentines to encourage even bend on both sides."
"cmiz1uqmg00004qtj776fjmaw","cmiz1z9ye0000z1tj6nxwmf16","2025-12-05T14:30:00.000Z","60","JUMPING","Course practice day.

Course:
- Set up a 9-fence track including a double and a liverpool.
- Height approx 1.00m - 1.05m.

Performance:
- Warm-up over cross rails and verticals went smoothly.
- First round was a bit rushing; rider needs to sit up more before the fences.
- Second round was excellent â€“ rhythm was consistent and distances came up easily.
- Horse did not look at the liverpool at all. Great confidence booster."
"cmiz1uvrd00014qtjolapk1bi","cmiz1znb90001z1tjxaptn1jt","2025-12-05T10:15:00.000Z","30","GROUNDWORK","Desensitization and obstacle work.

Objects used:
- Umbrella (opening and closing).
- Plastic bags on a stick.
- Wooden bridge.

Reaction:
- Specifically worked on the umbrella which was scary last time. By the end, could open it right next to the horse without flinching.
- Crossed the wooden bridge boldly.
- This horse is really developing a brave character."
"cmitaxi5o0000cntjm4i6ku3t","cmiz1zutc0002z1tj6ty2vuo4","2025-12-04T11:00:00.000Z","25","IN_HAND","Proprioception and pole work in hand.

Setup:
- Raised cavaletti poles at walk distance.
- Maze of poles for backing and turning.

Work:
- Encouraged the horse to lift legs high over the raised poles.
- Focused on slow, deliberate steps.
- The backing up through the maze requires a lot of coordination; improved significantly during the session.
- Good mental workout."
"cmiz1uqmg00004qtj776fjmaw","cmitf6njs00006qtjqh6se2t2","2025-12-03T08:00:00.000Z","90","TRAIL","Long distance conditioning ride.

Details:
- Rode to the beach and back (if applicable geography, otherwise 'to the ridge').
- Lots of trotting intervals (5 mins trot, 2 mins walk).
- Some canter work on the safe straightaways.

Condition:
- Recovery rate was excellent. Heart rate returned to normal quickly after the canter sets.
- No signs of fatigue.
- Boots checked, no rubs."
"cmiz1uvrd00014qtjolapk1bi","cmiz1z9ye0000z1tj6nxwmf16","2025-12-02T16:00:00.000Z","40","FLATWORK","Basics and bending.

Focus:
- 10m and 15m circles.
- Spiral in and spiral out at the trot.

Session Notes:
- The spiral exercise really helped engage the inside hind leg.
- Horse felt much softer in the mouth after 20 minutes.
- Worked on rider position: keeping shoulders back and eyes up.
- A very productive, foundational session."
"cmitaxi5o0000cntjm4i6ku3t","cmiz1znb90001z1tjxaptn1jt","2025-12-01T13:45:00.000Z","50","JUMPING","Technical lines and adjustability.

Exercises:
- Dog-leg line: 5 strides to 6 strides (adding).
- Skinny fences.

Performance:
- The horse was very honest to the skinny fences.
- Struggled slightly with the adding stride in the dog-leg initially, wanted to leave long.
- After three attempts, settled and waited for the rider, getting the 6 strides comfortably.
- Good lesson in adjustability."
"cmiz1uqmg00004qtj776fjmaw","cmiz1zutc0002z1tj6ty2vuo4","2025-11-30T09:30:00.000Z","35","GROUNDWORK","Lunging session.

Equipment:
- Cavesson and lunge line.
- Side reins attached later in the session (loose setting).

Observations:
- Started with free walk to assess soundness - 100% sound.
- Trotted in both directions. Left rein is definitely the stiff side.
- Canter depart on the right was clean; on the left, disunited once before correcting.
- Kept the session short to keep enthusiasm high."
"cmiz1uvrd00014qtjolapk1bi","cmitf6njs00006qtjqh6se2t2","2025-11-29T15:15:00.000Z","45","FLATWORK","Lateral work focus.

Movements:
- Shoulder-in.
- Haunches-in (Travers).
- Leg yield.

Feedback:
- Shoulder-in is becoming very established at the trot.
- Haunches-in is still a work in progress; horse tends to lose rhythm.
- Leg yield was excellent from center line to wall.
- Rider needs to be careful not to over-bend the neck."
